,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'10 COLOUR SPACEBOY PEN'}),frozenset({'POSTAGE'}),0.026030368763557483,0.6507592190889371,0.026030368763557483,1.0,1.5366666666666666,0.009090866314387755,inf
1,frozenset({'3 PIECE SPACEBOY COOKIE CUTTER SET'}),frozenset({'POSTAGE'}),0.03036876355748373,0.6507592190889371,0.028199566160520606,0.9285714285714286,1.426904761904762,0.008436813303155925,4.889370932754883
2,frozenset({'4 TRADITIONAL SPINNING TOPS'}),frozenset({'POSTAGE'}),0.06073752711496746,0.6507592190889371,0.04772234273318872,0.7857142857142857,1.2073809523809524,0.008196837018459358,1.6297903109182934
3,frozenset({'ALARM CLOCK BAKELIKE CHOCOLATE'}),frozenset({'POSTAGE'}),0.02386117136659436,0.6507592190889371,0.02386117136659436,1.0,1.5366666666666666,0.008333294121522108,inf
4,frozenset({'ALARM CLOCK BAKELIKE IVORY'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.026030368763557483,0.0824295010845987,0.021691973969631236,0.8333333333333334,10.109649122807017,0.01954630365940307,5.5054229934924095
5,frozenset({'ALARM CLOCK BAKELIKE ORANGE'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.0368763557483731,0.0824295010845987,0.028199566160520606,0.7647058823529412,9.277089783281733,0.025159866554364037,3.8996746203904564
6,frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.08676789587852494,0.0824295010845987,0.06290672451193059,0.7250000000000001,8.795394736842105,0.05575449014450337,3.336619996056006
7,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.0824295010845987,0.08676789587852494,0.06290672451193059,0.7631578947368421,8.795394736842105,0.05575449014450337,3.855868884068451
8,frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.08026030368763558,0.0824295010845987,0.06724511930585683,0.8378378378378378,10.164295874822189,0.06062930251598665,5.658351409978308
9,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.0824295010845987,0.08026030368763558,0.06724511930585683,0.8157894736842104,10.164295874822189,0.06062930251598665,4.99287263712426
10,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'POSTAGE'}),0.0824295010845987,0.6507592190889371,0.07158351409978309,0.868421052631579,1.3344736842105265,0.017941756344078942,2.654229934924079
11,frozenset({'ALARM CLOCK BAKELIKE IVORY'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.026030368763557483,0.08026030368763558,0.021691973969631236,0.8333333333333334,10.382882882882884,0.01960276866756697,5.518438177874188
12,frozenset({'ALARM CLOCK BAKELIKE ORANGE'}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.0368763557483731,0.08676789587852494,0.026030368763557483,0.7058823529411765,8.13529411764706,0.022830684967603203,3.1049891540130155
13,frozenset({'ALARM CLOCK BAKELIKE ORANGE'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.0368763557483731,0.08026030368763558,0.03036876355748373,0.823529411764706,10.26073131955485,0.027409056046226017,5.2118582791034
14,frozenset({'ALARM CLOCK BAKELIKE ORANGE'}),frozenset({'PLASTERS IN TIN SPACEBOY'}),0.0368763557483731,0.11713665943600868,0.026030368763557483,0.7058823529411765,6.026143790849673,0.021710795639019204,3.0017353579175707
15,frozenset({'ALARM CLOCK BAKELIKE ORANGE'}),frozenset({'POSTAGE'}),0.0368763557483731,0.6507592190889371,0.03253796095444685,0.8823529411764706,1.3558823529411765,0.008540332484789737,2.9685466377440344
16,frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.08676789587852494,0.08026030368763558,0.06290672451193059,0.7250000000000001,9.03310810810811,0.05594270683838304,3.344507986590417
17,frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.08026030368763558,0.08676789587852494,0.06290672451193059,0.7837837837837839,9.03310810810811,0.05594270683838304,4.223698481561824
18,frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'POSTAGE'}),0.08676789587852494,0.6507592190889371,0.07592190889370933,0.875,1.3445833333333335,0.019456900729810232,2.7939262472885034
19,frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'POSTAGE'}),0.08026030368763558,0.6507592190889371,0.0737527114967462,0.9189189189189189,1.412072072072072,0.02152257894513953,4.3073029645697725
